siruta,valoare_masculin,valoare_feminin,total
1017,32499,36344,68843
1071,1429,1444,2873
1151,2809,2802,5611
1213,12496,13164,25660
1348,10017,10499,20516
1455,3758,3773,7531
1696,12462,12988,25450
1794,7273,7545,14818
1874,14393,15416,29809
1936,3970,4097,8067
2130,1073,1064,2137
2309,698,670,1368
2381,876,869,1745
2577,838,807,1645
2915,2080,2054,4134
2988,1031,1053,2084
3039,2527,2286,4813
3397,536,494,1030
3459,754,787,1541
3761,473,475,948
3805,822,726,1548
3841,151,133,284
3958,1441,1543,2984
4008,594,573,1167
4106,883,910,1793
4142,1077,1102,2179
4188,1109,1060,2169
4240,1564,1539,3103
4268,492,487,979
4302,789,738,1527
4366,2163,2247,4410
4482,1033,1065,2098
4525,817,857,1674
4703,614,588,1202
4767,1098,1073,2171
4927,3339,3290,6629
4981,321,321,642
5103,2595,2585,5180
5167,670,632,1302
5210,1432,1347,2779
5309,1258,1206,2464
5336,1777,1712,3489
5577,1503,1427,2930
5700,1727,1660,3387
5755,1079,1060,2139
5826,425,395,820
6048,903,845,1748
6119,331,299,630
6164,378,366,744
6217,1777,1712,3489
6271,635,535,1170
6397,278,235,513
6468,568,571,1139
6547,684,628,1312
6592,521,554,1075
6627,251,284,535
6761,1445,1459,2904
6930,782,764,1546
6976,811,784,1595
7044,1162,1114,2276
7099,3091,2952,6043
7197,856,776,1632
7348,1331,1254,2585
7384,1537,1510,3047
7446,915,864,1779
7767,1304,1247,2551
7810,1248,1233,2481
7865,2260,2157,4417
7945,1229,1208,2437
8014,1482,1399,2881
8096,3639,3735,7374
8158,2553,2606,5159
8229,745,697,1442
8354,1601,1535,3136
8425,868,845,1713
8826,2679,2766,5445
9019,625,638,1263
9026,1187,1163,2350
9262,76440,87517,163957
9280,1783,1715,3498
9333,1492,1601,3093
9360,1412,1399,2811
9397,5817,6083,11900
9459,4002,4223,8225
9495,3923,4224,8147
9538,4634,4851,9485
9574,5256,5601,10857
9627,3955,4023,7978
9654,3732,3875,7607
9690,3019,3153,6172
9743,1414,1467,2881
9798,1817,1719,3536
9832,790,793,1583
9887,599,590,1189
9930,1497,1604,3101
10006,971,1051,2022
10051,949,947,1896
10104,1334,1419,2753
10195,1718,1850,3568
10239,634,614,1248
10293,1641,1781,3422
10346,570,581,1151
10373,1398,1390,2788
10417,693,741,1434
10453,1209,1224,2433
10514,1279,1324,2603
10532,1444,1477,2921
10649,638,642,1280
10701,782,765,1547
10765,726,662,1388
10827,1569,1554,3123
10872,1964,2232,4196
10916,1260,1252,2512
10943,1967,2181,4148
11058,1506,1529,3035
11174,602,682,1284
11236,660,684,1344
11307,367,352,719
11352,1191,1244,2435
11398,3254,3402,6656
11423,1849,1907,3756
11478,464,519,983
11502,1063,1052,2115
11539,2136,2204,4340
11584,6775,7149,13924
11637,838,912,1750
11664,761,758,1519
11735,1101,1091,2192
11762,566,634,1200
11842,1531,1626,3157
11940,3094,3168,6262
11995,1481,1576,3057
12037,1959,1988,3947
12055,1855,1941,3796
12091,6679,6665,13344
12126,1133,1146,2279
12144,1977,2004,3981
12206,1559,1539,3098
12224,1313,1327,2640
12242,2167,2249,4416
12288,410,462,872
12340,2204,2157,4361
