siruta,jud_code,jud_lbl,uat_lbl,total_voturi,voturi_ponta,voturi_iohannis,procent_ponta,procent_iohannis,castigator
1151,AB,ALBA,ABRUD,2952,1457,1495,49.35,50.64,1
1213,AB,ALBA,AIUD,14330,5548,8782,38.71,61.28,1
1017,AB,ALBA,ALBA IULIA,41724,11906,29818,28.53,71.46,1
2130,AB,ALBA,ALBAC,1212,323,889,26.65,73.34,1
2309,AB,ALBA,ALMAȘU MARE,809,224,585,27.68,72.31,1
2381,AB,ALBA,ARIEȘENI,1123,472,651,42.03,57.96,1
2577,AB,ALBA,AVRAM IANCU,919,161,758,17.51,82.48,1
2915,AB,ALBA,BAIA DE ARIEȘ,2070,883,1187,42.65,57.34,1
2988,AB,ALBA,BERGHIN,1085,242,843,22.30,77.69,1
3039,AB,ALBA,BISTRA,2377,796,1581,33.48,66.51,1
1348,AB,ALBA,BLAJ,10763,2827,7936,26.26,73.73,1
3397,AB,ALBA,BLANDIANA,584,145,439,24.82,75.17,1
9026,AB,ALBA,BUCERDEA GRÂNOASĂ,1405,329,1076,23.41,76.58,1
3459,AB,ALBA,BUCIUM,913,473,440,51.80,48.19,2
4106,AB,ALBA,CÂLNIC,1011,340,671,33.63,66.36,1
1455,AB,ALBA,CÂMPENI,4877,1881,2996,38.56,61.43,1
3761,AB,ALBA,CENADE,518,83,435,16.02,83.97,1
3805,AB,ALBA,CERGĂU,1001,195,806,19.48,80.51,1
3841,AB,ALBA,CERU-BĂCĂINȚI,188,65,123,34.57,65.42,1
3958,AB,ALBA,CETATEA DE BALTĂ,1337,406,931,30.36,69.63,1
1071,AB,ALBA,CIUGUD,2041,824,1217,40.37,59.62,1
4008,AB,ALBA,CIURULEASA,677,295,382,43.57,56.42,1
4188,AB,ALBA,CRĂCIUNELU DE JOS,1229,301,928,24.49,75.50,1
4142,AB,ALBA,CRICĂU,1213,343,870,28.27,71.72,1
1696,AB,ALBA,CUGIR,13283,5444,7839,40.98,59.01,1
9019,AB,ALBA,CUT,752,225,527,29.92,70.07,1
4240,AB,ALBA,DAIA ROMÂNĂ,1542,238,1304,15.43,84.56,1
4268,AB,ALBA,DOȘTAT,584,139,445,23.80,76.19,1
