siruta,primar,jud_code,jud_name,jud_lbl,uat_name,uat_lbl,id_partid,partid,abv_partid,id_partid_principal,nume_partid_principal,abv_partid_principal,colsen,coldep
153240,IONESCU ATANASE                                   ,TR,JUDEȚUL TELEORMAN,TELEORMAN,Măgura,MĂGURA,61,PARTIDUL SOCIAL DEMOCRAT,PSD,61,PARTIDUL SOCIAL DEMOCRAT,PSD,3,4
151978,PÂRVU PETRE                                       ,TR,JUDEȚUL TELEORMAN,TELEORMAN,Oraș Zimnicea,ZIMNICEA,62,UNIUNEA SOCIAL LIBERALĂ,USL,62,UNIUNEA SOCIAL LIBERALĂ,USL,1,2
152172,COJOCARU MIHAIL                                   ,TR,JUDEȚUL TELEORMAN,TELEORMAN,Botoroaga,BOTOROAGA,62,UNIUNEA SOCIAL LIBERALĂ,USL,62,UNIUNEA SOCIAL LIBERALĂ,USL,2,6
152234,RĂBOJ DANIEL                                      ,TR,JUDEȚUL TELEORMAN,TELEORMAN,Bragadiru,BRAGADIRU,62,UNIUNEA SOCIAL LIBERALĂ,USL,62,UNIUNEA SOCIAL LIBERALĂ,USL,2,3
152500,CUCUREZEANU MARIAN                                ,TR,JUDEȚUL TELEORMAN,TELEORMAN,Cervenia,CERVENIA,28,ALIANȚA PENTRU TELEORMAN,Al-Teleorman,15,PARTIDUL DEMOCRAT LIBERAL,PDL,2,3
152270,BURCEA FLORENTIN                                  ,TR,JUDEȚUL TELEORMAN,TELEORMAN,Bujoreni,BUJORENI,28,ALIANȚA PENTRU TELEORMAN,Al-Teleorman,15,PARTIDUL DEMOCRAT LIBERAL,PDL,3,4
152314,CHIRAN DIAN                                       ,TR,JUDEȚUL TELEORMAN,TELEORMAN,Bujoru,BUJORU,62,UNIUNEA SOCIAL LIBERALĂ,USL,62,UNIUNEA SOCIAL LIBERALĂ,USL,2,3
152564,PEȚA VIOREL                                       ,TR,JUDEȚUL TELEORMAN,TELEORMAN,Conțești,CONȚEȘTI,31,PARTIDUL NAȚIONAL LIBERAL,PNL,31,PARTIDUL NAȚIONAL LIBERAL,PNL,2,3
152902,BUCUR PETRE                                       ,TR,JUDEȚUL TELEORMAN,TELEORMAN,Drăgănești-Vlașca,DRĂGĂNEȘTI-VLAȘCA,62,UNIUNEA SOCIAL LIBERALĂ,USL,62,UNIUNEA SOCIAL LIBERALĂ,USL,3,4
153339,MIHĂILĂ VIOREL                                    ,TR,JUDEȚUL TELEORMAN,TELEORMAN,Mârzănești,MÂRZĂNEȘTI,28,ALIANȚA PENTRU TELEORMAN,Al-Teleorman,15,PARTIDUL DEMOCRAT LIBERAL,PDL,3,4
153400,MOCANU ION                                        ,TR,JUDEȚUL TELEORMAN,TELEORMAN,Năsturelu,NĂSTURELU,62,UNIUNEA SOCIAL LIBERALĂ,USL,62,UNIUNEA SOCIAL LIBERALĂ,USL,2,3
154709,IONESCU I. CONSTANTIN                             ,GR,JUDEȚUL GIURGIU,GIURGIU,Toporu,TOPORU,61,PARTIDUL SOCIAL DEMOCRAT,PSD,61,PARTIDUL SOCIAL DEMOCRAT,PSD,2,4
179739,ȘOAVĂ EUGEN                                       ,GR,JUDEȚUL GIURGIU,GIURGIU,Malu,MALU,31,PARTIDUL NAȚIONAL LIBERAL,PNL,31,PARTIDUL NAȚIONAL LIBERAL,PNL,1,2
153936,ȘUNĂ MARIUS                                       ,TR,JUDEȚUL TELEORMAN,TELEORMAN,Salcia,SALCIA,62,UNIUNEA SOCIAL LIBERALĂ,USL,62,UNIUNEA SOCIAL LIBERALĂ,USL,1,1
125588,BOBONETE NICULIȚĂ                                 ,OT,JUDEȚUL OLT,OLT,Gârcov,GÂRCOV,31,PARTIDUL NAȚIONAL LIBERAL,PNL,31,PARTIDUL NAȚIONAL LIBERAL,PNL,3,7
74883,STANCU ION                                        ,DJ,JUDEȚUL DOLJ,DOLJ,Dobrotești,DOBROTEȘTI,61,PARTIDUL SOCIAL DEMOCRAT,PSD,61,PARTIDUL SOCIAL DEMOCRAT,PSD,5,10
126102,GUȘATU DĂNUȚ                                      ,OT,JUDEȚUL OLT,OLT,Cezieni,CEZIENI,62,UNIUNEA SOCIAL LIBERALĂ,USL,62,UNIUNEA SOCIAL LIBERALĂ,USL,2,4
126077,RADU MILTIADE                                     ,OT,JUDEȚUL OLT,OLT,Bucinișu,BUCINIȘU,62,UNIUNEA SOCIAL LIBERALĂ,USL,62,UNIUNEA SOCIAL LIBERALĂ,USL,2,5
129745,CIUPITU  MARIN                                    ,OT,JUDEȚUL OLT,OLT,Vădăstrița,VĂDĂSTRIȚA,31,PARTIDUL NAȚIONAL LIBERAL,PNL,31,PARTIDUL NAȚIONAL LIBERAL,PNL,3,7
153909,BRICEAG STAN,TR,JUDEȚUL TELEORMAN,TELEORMAN,Răsmirești,RĂSMIREȘTI,28,ALIANȚA PENTRU TELEORMAN,Al-Teleorman,15,PARTIDUL DEMOCRAT LIBERAL,PDL,3,4
