siruta,primar,id_partid,partid,id_partid_principal,partid_principal
122953,LUPU GAVRIL,62,UNIUNEA SOCIAL LIBERALĂ,61,UNIUNEA SOCIAL LIBERALĂ
123255,DUMINICĂ IOAN,62,UNIUNEA SOCIAL LIBERALĂ,61,UNIUNEA SOCIAL LIBERALĂ
123371,ONISEI IOAN,62,UNIUNEA SOCIAL LIBERALĂ,61,UNIUNEA SOCIAL LIBERALĂ
123479,NICORESCU NECULAI,62,UNIUNEA SOCIAL LIBERALĂ,61,UNIUNEA SOCIAL LIBERALĂ
123674,CROITORIU CRISTIAN,62,UNIUNEA SOCIAL LIBERALĂ,61,UNIUNEA SOCIAL LIBERALĂ
123709,DASCĂLU VASILE-EMIL,27,ALIANȚA ELECTORALĂ POPULARĂ PROGRESISTĂ EUROPEANĂ LIBERALĂ,61,ALIANȚA ELECTORALĂ POPULARĂ PROGRESISTĂ EUROPEANĂ LIBERALĂ
124028,MOTFOLEA VASILE,62,UNIUNEA SOCIAL LIBERALĂ,61,UNIUNEA SOCIAL LIBERALĂ
124073,CIOBANU MANOLE,62,UNIUNEA SOCIAL LIBERALĂ,61,UNIUNEA SOCIAL LIBERALĂ
124206,DASCĂLU VALERIA,62,UNIUNEA SOCIAL LIBERALĂ,61,UNIUNEA SOCIAL LIBERALĂ
120824,HORCIU DANIEL,61,PARTIDUL SOCIAL DEMOCRAT,61,PARTIDUL SOCIAL DEMOCRAT
124634,ANDRICI IRONIM,62,UNIUNEA SOCIAL LIBERALĂ,61,UNIUNEA SOCIAL LIBERALĂ
124493,GĂINĂ IULIAN,62,UNIUNEA SOCIAL LIBERALĂ,61,UNIUNEA SOCIAL LIBERALĂ
124723,DUMINICĂ VASILE-OCTAVIAN,62,UNIUNEA SOCIAL LIBERALĂ,61,UNIUNEA SOCIAL LIBERALĂ
124750,GHERGHEL PETRU,62,UNIUNEA SOCIAL LIBERALĂ,61,UNIUNEA SOCIAL LIBERALĂ
125123,STOLERU IONEL,62,UNIUNEA SOCIAL LIBERALĂ,61,UNIUNEA SOCIAL LIBERALĂ
125178,MIHAI EUGEN,62,UNIUNEA SOCIAL LIBERALĂ,61,UNIUNEA SOCIAL LIBERALĂ
121876,GRUMEZESCU DOINEL,62,UNIUNEA SOCIAL LIBERALĂ,61,UNIUNEA SOCIAL LIBERALĂ
122061,STATE GHEORGHE-DANIEL,62,UNIUNEA SOCIAL LIBERALĂ,61,UNIUNEA SOCIAL LIBERALĂ
120888,DIACONU ADRIAN,62,UNIUNEA SOCIAL LIBERALĂ,61,UNIUNEA SOCIAL LIBERALĂ
122132,CIOCĂNEL AUREL,62,UNIUNEA SOCIAL LIBERALĂ,61,UNIUNEA SOCIAL LIBERALĂ
122347,COJOCARU GHEORGHE,62,UNIUNEA SOCIAL LIBERALĂ,61,UNIUNEA SOCIAL LIBERALĂ
122463,MICHIU MIHAI,62,UNIUNEA SOCIAL LIBERALĂ,61,UNIUNEA SOCIAL LIBERALĂ
122551,GHEORGHIU CRISTINEL VASILE,62,UNIUNEA SOCIAL LIBERALĂ,61,UNIUNEA SOCIAL LIBERALĂ
125150,BĂBUȚĂ VASILE,61,PARTIDUL SOCIAL DEMOCRAT,61,PARTIDUL SOCIAL DEMOCRAT
120968,SĂLĂGEAN NICOLAE,62,UNIUNEA SOCIAL LIBERALĂ,61,UNIUNEA SOCIAL LIBERALĂ
121055,HARPA VASILICĂ,62,UNIUNEA SOCIAL LIBERALĂ,61,UNIUNEA SOCIAL LIBERALĂ
121108,NASTASĂ NECULAI,62,UNIUNEA SOCIAL LIBERALĂ,61,UNIUNEA SOCIAL LIBERALĂ
125016,PETRARIU MARIA,61,PARTIDUL SOCIAL DEMOCRAT,61,PARTIDUL SOCIAL DEMOCRAT
125061,FILIP IOAN,61,PARTIDUL SOCIAL DEMOCRAT,61,PARTIDUL SOCIAL DEMOCRAT
121153,PLOȘNIȚĂ LIVIU-CRISTIAN,62,UNIUNEA SOCIAL LIBERALĂ,61,UNIUNEA SOCIAL LIBERALĂ
121466,ȘCHIOPU PETRICĂ,62,UNIUNEA SOCIAL LIBERALĂ,61,UNIUNEA SOCIAL LIBERALĂ
121297,ONIGA GHIORGHE,61,PARTIDUL SOCIAL DEMOCRAT,61,PARTIDUL SOCIAL DEMOCRAT
122285,CEAUȘU DAN,62,UNIUNEA SOCIAL LIBERALĂ,61,UNIUNEA SOCIAL LIBERALĂ
121386,PETRARU DĂNUȚ,62,UNIUNEA SOCIAL LIBERALĂ,61,UNIUNEA SOCIAL LIBERALĂ
125169,IACOB ION,62,UNIUNEA SOCIAL LIBERALĂ,31,UNIUNEA SOCIAL LIBERALĂ
123424,ROTARU-POPA PETRICĂ,62,UNIUNEA SOCIAL LIBERALĂ,31,UNIUNEA SOCIAL LIBERALĂ
123969,ȚARĂLUNGĂ SEBASTIAN-BOGDAN,62,UNIUNEA SOCIAL LIBERALĂ,31,UNIUNEA SOCIAL LIBERALĂ
124803,SÂRBU IOAN,62,UNIUNEA SOCIAL LIBERALĂ,31,UNIUNEA SOCIAL LIBERALĂ
121796,BLAJ GEORGETA,62,UNIUNEA SOCIAL LIBERALĂ,31,UNIUNEA SOCIAL LIBERALĂ
