siruta,primar,jud_lbl,uat_lbl,id_partid_principal,nume_partid_principal,id_partid_actual
1017,HAVA MIRCEA GHEORGHE,ALBA,ALBA IULIA,15,PARTIDUL DEMOCRAT LIBERAL,15
1071,DAMIAN GHEORGHE,ALBA,CIUGUD,62,UNIUNEA SOCIAL LIBERALĂ,61
1151,SIMINA NICOLAE,ALBA,ABRUD,62,UNIUNEA SOCIAL LIBERALĂ,61
1213,JOSAN MIHAI HORAȚIU,ALBA,AIUD,62,UNIUNEA SOCIAL LIBERALĂ,31
1348,ROTAR GHEORGHE VALENTIN,ALBA,BLAJ,15,PARTIDUL DEMOCRAT LIBERAL,15
5336,BÂRZAN DĂNUȚ-VASILE,ALBA,LUPȘA,62,UNIUNEA SOCIAL LIBERALĂ,61
5577,URSALEȘ TRAIAN NICOLAE,ALBA,METEȘ,15,PARTIDUL DEMOCRAT LIBERAL,15
5700,BREAZ FLAVIUS,ALBA,MIHALȚ,15,PARTIDUL DEMOCRAT LIBERAL,15
5755,ALEXANDRU LIVIU-GIGEL,ALBA,MIRĂSLĂU,15,PARTIDUL DEMOCRAT LIBERAL,15
9654,RETTER IOSIF,ARAD,PÂNCOTA,15,PARTIDUL DEMOCRAT LIBERAL,15
12055,ERDŐS VALENTIN,ARAD,SINTEA MARE,38,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,38
12091,TOMUȚA DANIEL-SORIN,ARAD,SÂNTANA,31,PARTIDUL NAȚIONAL LIBERAL,31
13169,PENDIUC TUDOR,ARGEȘ,PITEȘTI,62,UNIUNEA SOCIAL LIBERALĂ,61
15554,DIACONU DUMITRU,ARGEȘ,CIOMĂGEȘTI,15,PARTIDUL DEMOCRAT LIBERAL,15
15652,ȚUCĂ GHEORGHE,ARGEȘ,COCU,62,UNIUNEA SOCIAL LIBERALĂ,61
15741,MATEESCU VIRGIL-REMO,ARGEȘ,CORBENI,62,UNIUNEA SOCIAL LIBERALĂ,61
15830,BACIU VIRGIL,ARGEȘ,CORBI,15,PARTIDUL DEMOCRAT LIBERAL,15
21971,CIOBOTARU VASILICĂ,BACĂU,CORBASCA,31,PARTIDUL NAȚIONAL LIBERAL,31
22059,OLARIU VIOREL,BACĂU,COȚOFĂNEȘTI,62,UNIUNEA SOCIAL LIBERALĂ,61
22166,SPIRIDON V. CONSTANTIN,BACĂU,DĂRMĂNEȘTI,61,PARTIDUL SOCIAL DEMOCRAT,61
22237,SAVIN VASILE,BACĂU,DEALU MORII,62,UNIUNEA SOCIAL LIBERALĂ,61
22380,BUJOR IOAN,BACĂU,DOFTEANA,15,PARTIDUL DEMOCRAT LIBERAL,15
22460,SOLOMON ADRIAN,BACĂU,FARAOANI,63,UNIUNEA NAȚIONALĂ PENTRU PROGRESUL ROMÂNIEI,63
13187,STANCU GHEORGHE,ARGEȘ,BASCOV,62,UNIUNEA SOCIAL LIBERALĂ,61
25629,ROTARIU V. VASILE,BACĂU,STRUGARI,61,PARTIDUL SOCIAL DEMOCRAT,61
