siruta,primar,id_partid_principal,nume_partid_principal,linkp
153240,IONESCU ATANASE,61,PARTIDUL SOCIAL DEMOCRAT,
151978,PÂRVU PETRE,62,UNIUNEA SOCIAL LIBERALĂ,
152172,COJOCARU MIHAIL,62,UNIUNEA SOCIAL LIBERALĂ,
152234,RĂBOJ DANIEL,62,UNIUNEA SOCIAL LIBERALĂ,http://www.pna.ro/comunicat.xhtml?id=4342 </br> http://www.pna.ro/comunicat.xhtml?id=4343 </br>
152500,CUCUREZEANU MARIAN,15,PARTIDUL DEMOCRAT LIBERAL,
152270,BURCEA FLORENTIN,15,PARTIDUL DEMOCRAT LIBERAL,
152314,CHIRAN DIAN,62,UNIUNEA SOCIAL LIBERALĂ,
152564,PEȚA VIOREL,31,PARTIDUL NAȚIONAL LIBERAL,
152902,BUCUR PETRE,62,UNIUNEA SOCIAL LIBERALĂ,
153339,MIHĂILĂ VIOREL,15,PARTIDUL DEMOCRAT LIBERAL,
153400,MOCANU ION,62,UNIUNEA SOCIAL LIBERALĂ,
154709,IONESCU I. CONSTANTIN,61,PARTIDUL SOCIAL DEMOCRAT,
179739,ȘOAVĂ EUGEN,31,PARTIDUL NAȚIONAL LIBERAL,
153936,ȘUNĂ MARIUS,62,UNIUNEA SOCIAL LIBERALĂ,
125588,BOBONETE NICULIȚĂ,31,PARTIDUL NAȚIONAL LIBERAL,
74883,STANCU ION,61,PARTIDUL SOCIAL DEMOCRAT,
126102,GUȘATU DĂNUȚ,62,UNIUNEA SOCIAL LIBERALĂ,
126077,RADU MILTIADE,62,UNIUNEA SOCIAL LIBERALĂ,
129745,CIUPITU MARIN,31,PARTIDUL NAȚIONAL LIBERAL,
153909,BRICEAG STAN,15,PARTIDUL DEMOCRAT LIBERAL,
154013,ȘEFU MARIAN,61,PARTIDUL SOCIAL DEMOCRAT,
129898,STĂNESCU CONSTANTIN,62,UNIUNEA SOCIAL LIBERALĂ,
154139,CĂLIN LUCIAN,62,UNIUNEA SOCIAL LIBERALĂ,
129184,VASILE MARIAN,15,PARTIDUL DEMOCRAT LIBERAL,
129460,GULIE VIRGIL,61,PARTIDUL SOCIAL DEMOCRAT,
129567,NEGRILĂ MARIAN,31,PARTIDUL NAȚIONAL LIBERAL,
129629,SPIRIDON ION,62,UNIUNEA SOCIAL LIBERALĂ,
129718,RĂDULESCU SORIN,62,UNIUNEA SOCIAL LIBERALĂ,
127938,OIȚĂ VIOREL,63,UNIUNEA NAȚIONALĂ PENTRU PROGRESUL ROMÂNIEI,
128613,CĂLIN MARIN,31,PARTIDUL NAȚIONAL LIBERAL,
128864,BĂLUȚĂ MARIAN,61,PARTIDUL SOCIAL DEMOCRAT,
154344,ȘTEFAN MARINEL,62,UNIUNEA SOCIAL LIBERALĂ,
130375,ȚOL FLORIN CRISTIAN,61,PARTIDUL SOCIAL DEMOCRAT,
151790,DRĂGUȘIN VICTOR,62,UNIUNEA SOCIAL LIBERALĂ,
151816,GROSU FLOREA,15,PARTIDUL DEMOCRAT LIBERAL,
155154,BĂRBULESCU FLORICA AURELIA,62,UNIUNEA SOCIAL LIBERALĂ,
152993,DRAGNE MARIAN,62,UNIUNEA SOCIAL LIBERALĂ,
152332,TRĂISTARU VALENTIN,62,UNIUNEA SOCIAL LIBERALĂ,
152412,NIȚU GEORGE VALENTIN,15,PARTIDUL DEMOCRAT LIBERAL,
152617,LICĂ IULIAN,15,PARTIDUL DEMOCRAT LIBERAL,
152662,SITEAVU MINEL - GELU,62,UNIUNEA SOCIAL LIBERALĂ,
125490,ȘOANCĂ ȘTEFAN VIOREL,62,UNIUNEA SOCIAL LIBERALĂ,
151709,GÂDEA ANGHEL,62,UNIUNEA SOCIAL LIBERALĂ,
153151,BUZALĂ MARIN,62,UNIUNEA SOCIAL LIBERALĂ,
154497,MAGEREANU IOANA,15,PARTIDUL DEMOCRAT LIBERAL,
154460,BARBU COSTEL,15,PARTIDUL DEMOCRAT LIBERAL,
155083,ANDREI GHEORGHE,62,UNIUNEA SOCIAL LIBERALĂ,
154834,PISICĂ FLORIAN GELU,62,UNIUNEA SOCIAL LIBERALĂ,
154914,NEAMU TIBERIU DAN,15,PARTIDUL DEMOCRAT LIBERAL,
155145,CÂRJAN GABRIEL,62,UNIUNEA SOCIAL LIBERALĂ,
67906,VLAD ION,62,UNIUNEA SOCIAL LIBERALĂ,
152868,LETCANU VICTOR,15,PARTIDUL DEMOCRAT LIBERAL,
153561,CHERA DĂNUȚ,62,UNIUNEA SOCIAL LIBERALĂ,
153605,GROSU DANIEL,15,PARTIDUL DEMOCRAT LIBERAL,
128560,SÂRBU VERGIL,62,UNIUNEA SOCIAL LIBERALĂ,
127224,IOVANCEA DOREL,31,PARTIDUL NAȚIONAL LIBERAL,
153829,RĂDUCA PETRE,62,UNIUNEA SOCIAL LIBERALĂ,
153865,CIOACĂ ION,31,PARTIDUL NAȚIONAL LIBERAL,
153124,BĂCANU DANIEL SORIN,15,PARTIDUL DEMOCRAT LIBERAL,
153277,OPRINA ION,62,UNIUNEA SOCIAL LIBERALĂ,
153589,MARCEA ADELI OCTAVIAN,61,PARTIDUL SOCIAL DEMOCRAT,
71634,CELĂREANU STELIAN,62,UNIUNEA SOCIAL LIBERALĂ,
153776,NEDEA SIMION,62,UNIUNEA SOCIAL LIBERALĂ,
154166,ISVORANU ION,62,UNIUNEA SOCIAL LIBERALĂ,
154996,VÎLCU SANDU,62,UNIUNEA SOCIAL LIBERALĂ,
154415,MOISE ALEXANDRU,15,PARTIDUL DEMOCRAT LIBERAL,
100549,GHEONU MIHAI,62,UNIUNEA SOCIAL LIBERALĂ,
105348,ENE I. ILIE,57,PARTIDUL POPORULUI - DAN DIACONESCU,
126148,MARANCEA IONEL,62,UNIUNEA SOCIAL LIBERALĂ,
129282,MĂGUREANU VIOREL MARIUS,62,UNIUNEA SOCIAL LIBERALĂ,
152127,PIRNEA MARIN,62,UNIUNEA SOCIAL LIBERALĂ,
154380,BRÂNZĂREA STELIAN,62,UNIUNEA SOCIAL LIBERALĂ,
72052,ILIESCU DUMITRU,49,PARTIDUL NAȚIONAL ȚĂRĂNESC CREȘTIN DEMOCRAT,
105909,BĂLAN J.MARIAN,61,PARTIDUL SOCIAL DEMOCRAT,
127144,POPESCU MARIUS ȘTEFAN,62,UNIUNEA SOCIAL LIBERALĂ,
154790,TUDORICĂ MARIAN,62,UNIUNEA SOCIAL LIBERALĂ,
154852,DRĂGHICI AUREL,62,UNIUNEA SOCIAL LIBERALĂ,
127368,VELICA MIRCEA,61,PARTIDUL SOCIAL DEMOCRAT,
155109,DONCEA COSTICĂ,62,UNIUNEA SOCIAL LIBERALĂ,
155118,POPA MARIAN,15,PARTIDUL DEMOCRAT LIBERAL,
153204,STAN NICOLAE,15,PARTIDUL DEMOCRAT LIBERAL,
129040,TOMA CONSTANTIN GICĂ,61,PARTIDUL SOCIAL DEMOCRAT,
125542,OANE IULICĂ,61,PARTIDUL SOCIAL DEMOCRAT,
73031,DINU ION,61,PARTIDUL SOCIAL DEMOCRAT,
70673,ROȘIU VALENTIN,61,PARTIDUL SOCIAL DEMOCRAT,
103130,MARIN TUDOR,62,UNIUNEA SOCIAL LIBERALĂ,
127126,IMIREANU DOREL CĂTĂLIN,62,UNIUNEA SOCIAL LIBERALĂ,
127251,PASCU N. MIREL,61,PARTIDUL SOCIAL DEMOCRAT,
103194,MARCU DUMITRU,31,PARTIDUL NAȚIONAL LIBERAL,
128524,BĂLĂ DAN,62,UNIUNEA SOCIAL LIBERALĂ,
128472,SÎIA NICUȘOR,31,PARTIDUL NAȚIONAL LIBERAL,
153623,ALEXE MARCEL,15,PARTIDUL DEMOCRAT LIBERAL,
151763,POPESCU DOREL,62,UNIUNEA SOCIAL LIBERALĂ,
125472,CIOCĂZANU EDUARD CLAUDIU,61,PARTIDUL SOCIAL DEMOCRAT,
126718,TUDORAȘCU GHEORGHE,62,UNIUNEA SOCIAL LIBERALĂ,
129095,DAMIAN ALEXANDRU,57,PARTIDUL POPORULUI - DAN DIACONESCU,
130026,TOCEA ST. MARIAN,61,PARTIDUL SOCIAL DEMOCRAT,
126585,SOARE NICOLAE,61,PARTIDUL SOCIAL DEMOCRAT,
126647,ALIMAN D. ION,57,PARTIDUL POPORULUI - DAN DIACONESCU,
153696,DINCĂ ION,15,PARTIDUL DEMOCRAT LIBERAL,
130339,CRANTA GICU,31,PARTIDUL NAȚIONAL LIBERAL,
151870,DUICĂ CRISTIAN,61,PARTIDUL SOCIAL DEMOCRAT,
