siruta,jud_code,jud_name,jud_lbl,sector,uat_ta,uat_pop,uat_name,uat_lbl,uat_name_normal,gospodarii,total_locuitori,colsen,coldep,nr_angajati,nr_absolventi
1017,AB,JUDEȚUL ALBA,ALBA,,61387,66406,Municipiul Alba Iulia,ALBA IULIA,MUNICIPIUL ALBA IULIA,25942,58681,1,1,30089,3550
1071,AB,JUDEȚUL ALBA,ALBA,,2175,2664,Ciugud,CIUGUD,CIUGUD,1048,3018,1,1,137,19
1151,AB,JUDEȚUL ALBA,ALBA,,4946,6195,Oraș Abrud,ABRUD,ORAS ABRUD,2504,4944,1,5,1526,235
1213,AB,JUDEȚUL ALBA,ALBA,,23553,28934,Municipiul Aiud,AIUD,MUNICIPIUL AIUD,9474,22495,2,4,5422,765
1348,AB,JUDEȚUL ALBA,ALBA,,17841,20765,Municipiul Blaj,BLAJ,MUNICIPIUL BLAJ,7122,20026,2,2,4785,1386
1455,AB,JUDEȚUL ALBA,ALBA,,6821,8080,Oraș Câmpeni,CÂMPENI,ORAS CAMPENI,3031,6942,1,5,2028,595
1696,AB,JUDEȚUL ALBA,ALBA,,24694,25977,Oraș Cugir,CUGIR,ORAS CUGIR,10529,20119,1,3,4659,560
1794,AB,JUDEȚUL ALBA,ALBA,,12932,15503,Oraș Ocna Mureș,OCNA MUREȘ,ORAS OCNA MURES,5721,12377,2,4,2301,353
1874,AB,JUDEȚUL ALBA,ALBA,,25909,27698,Municipiul Sebeș,SEBEȘ,MUNICIPIUL SEBES,10004,24165,2,2,10444,906
1936,AB,JUDEȚUL ALBA,ALBA,,7163,8612,Oraș Zlatna,ZLATNA,ORAS ZLATNA,3373,7182,1,3,1002,166
2130,AB,JUDEȚUL ALBA,ALBA,,1848,2220,Albac,ALBAC,ALBAC,816,2043,1,5,196,86
2309,AB,JUDEȚUL ALBA,ALBA,,1250,1690,Almașu Mare,ALMAȘU MARE,ALMASU MARE,757,1303,1,3,71,12
2381,AB,JUDEȚUL ALBA,ALBA,,1489,1921,Arieșeni,ARIEȘENI,ARIESENI,953,1743,1,5,132,67
2577,AB,JUDEȚUL ALBA,ALBA,,1482,1865,Avram Iancu,AVRAM IANCU,AVRAM IANCU,1016,1613,1,5,117,16
2915,AB,JUDEȚUL ALBA,ALBA,,3834,4669,Oraș Baia De Arieș,BAIA DE ARIEȘ,ORAS BAIA DE ARIES,1730,3433,1,5,557,229
2988,AB,JUDEȚUL ALBA,ALBA,,1824,2169,Berghin,BERGHIN,BERGHIN,1046,1838,1,1,73,18
3039,AB,JUDEȚUL ALBA,ALBA,,4103,5066,Bistra,BISTRA,BISTRA,1604,4417,1,5,235,74
