coldep_code,jud_lbl,nume,partid_avb,id_partid,partid,membru_pana,activ_flag
AB1,ALBA,Atanasiu Teodor ,PNL,31,PARTIDUL NAȚIONAL LIBERAL,,1
AB2,ALBA,Pereş Alexandru ,PDL,15,PARTIDUL DEMOCRAT LIBERAL,,1
AG1,ARGES,Popa Ion ,PNL,31,PARTIDUL NAȚIONAL LIBERAL,,1
AG2,ARGES,Valeca Şerban Constantin ,PSD,61,PARTIDUL SOCIAL DEMOCRAT,,1
AG3,ARGES,Tămagă Constantin ,PSD,61,PARTIDUL SOCIAL DEMOCRAT,,1
AG4,ARGES,Zisu Ionuţ-Elie ,PNL,31,PARTIDUL NAȚIONAL LIBERAL,,1
AR1,ARAD,Ungureanu Mihai Răzvan ,PDL,15,PARTIDUL DEMOCRAT LIBERAL,,1
AR2,ARAD,Cristina Ioan ,PNL,31,PARTIDUL NAȚIONAL LIBERAL,,1
AR3,ARAD,Igaş Traian Constantin ,PDL,15,PARTIDUL DEMOCRAT LIBERAL,,1
B1,BUCURESTI,Corlăţean Titus ,PSD,61,PARTIDUL SOCIAL DEMOCRAT,,1
B10,BUCURESTI,Popa Florian ,PSD,61,PARTIDUL SOCIAL DEMOCRAT,,1
B11,BUCURESTI,Dobriţoiu Corneliu ,PNL,31,PARTIDUL NAȚIONAL LIBERAL,,1
B12,BUCURESTI,Mutu Gabriel ,PSD,61,PARTIDUL SOCIAL DEMOCRAT,,1
B2,BUCURESTI,Popescu-Tăriceanu Călin Constantin Anton ,PLC,100,GRUPUL PARLAMENTAR LIBERAL CONSERVATOR,,1
B3,BUCURESTI,Oprea Gabriel ,PSD (membru UNPR),63,UNIUNEA NAȚIONALĂ PENTRU PROGRESUL ROMÂNIEI,,1
B4,BUCURESTI,Boagiu Anca-Daniela ,PDL,15,PARTIDUL DEMOCRAT LIBERAL,,1
B5,BUCURESTI,Rădulescu Cristian ,PDL,15,PARTIDUL DEMOCRAT LIBERAL,,1
B6,BUCURESTI,Andronescu Ecaterina ,PSD,61,PARTIDUL SOCIAL DEMOCRAT,,1
B7,BUCURESTI,Mihai Alfred-Laurentiu-Antonio ,PLC,100,GRUPUL PARLAMENTAR LIBERAL CONSERVATOR,,1
B8,BUCURESTI,Năstase Ilie ,PLC,100,GRUPUL PARLAMENTAR LIBERAL CONSERVATOR,,1
B9,BUCURESTI,Croitoru Cătălin ,PSD,61,PARTIDUL SOCIAL DEMOCRAT,,1
BC1,BACAU,Luchian Dragoş ,PNL,31,PARTIDUL NAȚIONAL LIBERAL,,1
BC2,BACAU,Nistor Vasile ,PLC,100,GRUPUL PARLAMENTAR LIBERAL CONSERVATOR,,1
BC3,BACAU,Tătaru Dan ,PSD,61,PARTIDUL SOCIAL DEMOCRAT,,1
BC4,BACAU,Bujor Dumitru Marcel ,PSD (membru UNPR),63,UNIUNEA NAȚIONALĂ PENTRU PROGRESUL ROMÂNIEI,,1
BH1,BIHOR,Biró Rozalia Ibolya ,UDMR,38,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,,1
BH2,BIHOR,Bodea Cristian Petru ,PNL,31,PARTIDUL NAȚIONAL LIBERAL,,1
BH3,BIHOR,Boeriu Valeriu-Victor ,PNL,31,PARTIDUL NAȚIONAL LIBERAL,,1
BH4,BIHOR,Bodog Florian Dorel ,PSD,61,PARTIDUL SOCIAL DEMOCRAT,,1
BN1,BISTRITA-NASAUD,Dobra Dorin-Mircea ,PNL,31,PARTIDUL NAȚIONAL LIBERAL,,1
BN2,BISTRITA-NASAUD,Deneş Ioan ,PSD,61,PARTIDUL SOCIAL DEMOCRAT,,1
BR1,BRAILA,Rotaru Ion ,PSD,61,PARTIDUL SOCIAL DEMOCRAT,,1
BR2,BRAILA,Boboc Cătălin ,PNL,31,PARTIDUL NAȚIONAL LIBERAL,,1
BT1,BOTOSANI,Federovici Doina Elena ,PSD,61,PARTIDUL SOCIAL DEMOCRAT,,1
BT2,BOTOSANI,Mihăilescu Petru Şerban ,PSD (membru UNPR),63,UNIUNEA NAȚIONALĂ PENTRU PROGRESUL ROMÂNIEI,,1
BT3,BOTOSANI,Grigoraş Viorel ,PNL,31,PARTIDUL NAȚIONAL LIBERAL,,1
BV1,BRASOV,Coste Marius ,PSD,61,PARTIDUL SOCIAL DEMOCRAT,,1
BV2,BRASOV,Chiriac Viorel ,PSD,61,PARTIDUL SOCIAL DEMOCRAT,,1
BV3,BRASOV,Ghişe Ioan ,PNL,31,PARTIDUL NAȚIONAL LIBERAL,,1
BV4,BRASOV,Neculoiu Marius ,PNL,31,PARTIDUL NAȚIONAL LIBERAL,,1
BZ1,BUZAU,Teodorovici Eugen Orlando ,PSD,61,PARTIDUL SOCIAL DEMOCRAT,,1
BZ2,BUZAU,Tudor Doina-Anca ,PNL,31,PARTIDUL NAȚIONAL LIBERAL,,1
BZ3,BUZAU,Mocanu Victor ,PSD,61,PARTIDUL SOCIAL DEMOCRAT,,1
CJ1,CLUJ,Tişe Alin Păunel ,PDL,15,PARTIDUL DEMOCRAT LIBERAL,,1
CJ2,CLUJ,Laszlo Attila ,UDMR,38,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,,1
CJ3,CLUJ,Nicoară Marius Petre ,PNL,31,PARTIDUL NAȚIONAL LIBERAL,,1
CJ4,CLUJ,Cordoş Alexandru ,PSD,61,PARTIDUL SOCIAL DEMOCRAT,,1
CL1,CALARASI,Tomoiagă Ştefan-Liviu ,PNL,31,PARTIDUL NAȚIONAL LIBERAL,,1
CL2,CALARASI,Dumitrescu Iulian ,PNL,31,PARTIDUL NAȚIONAL LIBERAL,,1
CS1,CARAS-SEVERIN,Duruţ Aurel ,PSD,61,PARTIDUL SOCIAL DEMOCRAT,,1
CS2,CARAS-SEVERIN,Purec Ion Simeon ,PSD (membru UNPR),63,UNIUNEA NAȚIONALĂ PENTRU PROGRESUL ROMÂNIEI,,1
CT1,CONSTANTA,Haşotti Puiu ,PNL,31,PARTIDUL NAȚIONAL LIBERAL,,1
